admin_division,role,unit,duty_phone,email,deputy
I,dyżurny krajowy (dane syntetyczne),Centrum operacyjne - Administracja publiczna,+48 22 100 13754,dyzurny.i@demo-ol.example,zastępca dyżurnego I (syntetyczny)
II,dyżurny krajowy (dane syntetyczne),"Centrum operacyjne - Budownictwo, planowanie przestrzenne i mieszkalnictwo",+48 22 100 23214,dyzurny.ii@demo-ol.example,zastępca dyżurnego II (syntetyczny)
III,dyżurny krajowy (dane syntetyczne),Centrum operacyjne - Budżet,+48 22 100 33125,dyzurny.iii@demo-ol.example,zastępca dyżurnego III (syntetyczny)
IV,dyżurny krajowy (dane syntetyczne),Centrum operacyjne - Energia,+48 22 100 23859,dyzurny.iv@demo-ol.example,zastępca dyżurnego IV (syntetyczny)
V,dyżurny krajowy (dane syntetyczne),Centrum operacyjne - Finanse publiczne,+48 22 100 16381,dyzurny.v@demo-ol.example,zastępca dyżurnego V (syntetyczny)
VI,dyżurny krajowy (dane syntetyczne),Centrum operacyjne - Gospodarka,+48 22 100 26350,dyzurny.vi@demo-ol.example,zastępca dyżurnego VI (syntetyczny)
VII,dyżurny krajowy (dane syntetyczne),Centrum operacyjne - Gospodarka morska,+48 22 100 36328,dyzurny.vii@demo-ol.example,zastępca dyżurnego VII (syntetyczny)
VIII,dyżurny krajowy (dane syntetyczne),Centrum operacyjne - Gospodarka wodna,+48 22 100 46242,dyzurny.viii@demo-ol.example,zastępca dyżurnego VIII (syntetyczny)
IX,dyżurny krajowy (dane syntetyczne),Centrum operacyjne - Zdrowie,+48 22 100 23854,dyzurny.ix@demo-ol.example,zastępca dyżurnego IX (syntetyczny)
X,dyżurny krajowy (dane syntetyczne),Centrum operacyjne - Informatyzacja,+48 22 100 18204,dyzurny.x@demo-ol.example,zastępca dyżurnego X (syntetyczny)
XI,dyżurny krajowy (dane syntetyczne),Centrum operacyjne - Kultura i ochrona dziedzictwa narodowego,+48 22 100 28792,dyzurny.xi@demo-ol.example,zastępca dyżurnego XI (syntetyczny)
XII,dyżurny krajowy (dane syntetyczne),Centrum operacyjne - Kultura fizyczna,+48 22 100 38858,dyzurny.xii@demo-ol.example,zastępca dyżurnego XII (syntetyczny)
XIII,dyżurny krajowy (dane syntetyczne),Centrum operacyjne - Łączność,+48 22 100 48658,dyzurny.xiii@demo-ol.example,zastępca dyżurnego XIII (syntetyczny)
XIV,dyżurny krajowy (dane syntetyczne),Centrum operacyjne - Obrona narodowa,+48 22 100 38189,dyzurny.xiv@demo-ol.example,zastępca dyżurnego XIV (syntetyczny)
XV,dyżurny krajowy (dane syntetyczne),Centrum operacyjne - Oświata i wychowanie,+48 22 100 28704,dyzurny.xv@demo-ol.example,zastępca dyżurnego XV (syntetyczny)
XVI,dyżurny krajowy (dane syntetyczne),Centrum operacyjne - Praca,+48 22 100 38532,dyzurny.xvi@demo-ol.example,zastępca dyżurnego XVI (syntetyczny)
XVII,dyżurny krajowy (dane syntetyczne),Centrum operacyjne - Rolnictwo,+48 22 100 48132,dyzurny.xvii@demo-ol.example,zastępca dyżurnego XVII (syntetyczny)
XVIII,dyżurny krajowy (dane syntetyczne),Centrum operacyjne - Sprawiedliwość,+48 22 100 58130,dyzurny.xviii@demo-ol.example,zastępca dyżurnego XVIII (syntetyczny)
XIX,dyżurny krajowy (dane syntetyczne),Centrum operacyjne - Sprawy wewnętrzne,+48 22 100 38195,dyzurny.xix@demo-ol.example,zastępca dyżurnego XIX (syntetyczny)
XX,dyżurny krajowy (dane syntetyczne),Centrum operacyjne - Sprawy zagraniczne,+48 22 100 28323,dyzurny.xx@demo-ol.example,zastępca dyżurnego XX (syntetyczny)
XXI,dyżurny krajowy (dane syntetyczne),Centrum operacyjne - Środowisko,+48 22 100 38338,dyzurny.xxi@demo-ol.example,zastępca dyżurnego XXI (syntetyczny)
XXII,dyżurny krajowy (dane syntetyczne),Centrum operacyjne - Transport,+48 22 100 48617,dyzurny.xxii@demo-ol.example,zastępca dyżurnego XXII (syntetyczny)
XXIII,dyżurny krajowy (dane syntetyczne),Centrum operacyjne - Zabezpieczenie społeczne,+48 22 100 58716,dyzurny.xxiii@demo-ol.example,zastępca dyżurnego XXIII (syntetyczny)
XXIV,dyżurny krajowy (dane syntetyczne),Centrum operacyjne - Klimat,+48 22 100 48127,dyzurny.xxiv@demo-ol.example,zastępca dyżurnego XXIV (syntetyczny)
XXV,dyżurny krajowy (dane syntetyczne),Centrum operacyjne - Aktywa państwowe,+48 22 100 38674,dyzurny.xxv@demo-ol.example,zastępca dyżurnego XXV (syntetyczny)
