spo_code,step_number,step_description,responsible_admin_division,sla_hours,required_document
SPO-1,1,Przyjąć meldunek i potwierdzić przesłanki uruchomienia procedury,I,2,meldunek_sytuacyjny.pdf
SPO-1,2,Wyznaczyć resort wiodący i listę uczestników uzgodnień,I,6,lista_uczestnikow.xlsx
SPO-1,3,"Przygotować projekt decyzji, komunikatu lub notatki dla RZZK",XIX,10,projekt_decyzji.docx
SPO-1,4,Zarejestrować status wykonania i przekazać informację do RCB,I,14,potwierdzenie_wykonania.json
SPO-2,1,Przyjąć meldunek i potwierdzić przesłanki uruchomienia procedury,I,2,meldunek_sytuacyjny.pdf
SPO-2,2,Wyznaczyć resort wiodący i listę uczestników uzgodnień,I,6,lista_uczestnikow.xlsx
SPO-2,3,"Przygotować projekt decyzji, komunikatu lub notatki dla RZZK",XIX,10,projekt_decyzji.docx
SPO-2,4,Zarejestrować status wykonania i przekazać informację do RCB,I,14,potwierdzenie_wykonania.json
SPO-3,1,Przyjąć meldunek i potwierdzić przesłanki uruchomienia procedury,I,2,meldunek_sytuacyjny.pdf
SPO-3,2,Wyznaczyć resort wiodący i listę uczestników uzgodnień,I,6,lista_uczestnikow.xlsx
SPO-3,3,"Przygotować projekt decyzji, komunikatu lub notatki dla RZZK",XIX,10,projekt_decyzji.docx
SPO-3,4,Zarejestrować status wykonania i przekazać informację do RCB,I,14,potwierdzenie_wykonania.json
SPO-4,1,Przyjąć meldunek i potwierdzić przesłanki uruchomienia procedury,I,2,meldunek_sytuacyjny.pdf
SPO-4,2,Wyznaczyć resort wiodący i listę uczestników uzgodnień,I,6,lista_uczestnikow.xlsx
SPO-4,3,"Przygotować projekt decyzji, komunikatu lub notatki dla RZZK",XIX,10,projekt_decyzji.docx
SPO-4,4,Zarejestrować status wykonania i przekazać informację do RCB,I,14,potwierdzenie_wykonania.json
SPO-5,1,Przyjąć meldunek i potwierdzić przesłanki uruchomienia procedury,I,2,meldunek_sytuacyjny.pdf
SPO-5,2,Wyznaczyć resort wiodący i listę uczestników uzgodnień,I,6,lista_uczestnikow.xlsx
SPO-5,3,"Przygotować projekt decyzji, komunikatu lub notatki dla RZZK",XIX,10,projekt_decyzji.docx
SPO-5,4,Zarejestrować status wykonania i przekazać informację do RCB,I,14,potwierdzenie_wykonania.json
SPO-6,1,Przyjąć meldunek i potwierdzić przesłanki uruchomienia procedury,I,2,meldunek_sytuacyjny.pdf
SPO-6,2,Wyznaczyć resort wiodący i listę uczestników uzgodnień,I,6,lista_uczestnikow.xlsx
